Rank	NCT Number	Title	Status	Study Results	Conditions	Interventions	Gender	Age	Phases	Enrollment	Study Type	Start Date	Locations	URL
429	NCT02811627	Predicting Treatment Response to Memantine in Autism Using Magnetic Resonance Spectroscopy	Recruiting	No Results Available	Autism Spectrum Disorder	Drug: Memantine|Device: Magnetic Resonance Imaging	All	16 Years and older   (Child, Adult, Older Adult)	Early Phase 1	25	Interventional	June 2016	University of Missouri, Columbia, Missouri, United States	https://ClinicalTrials.gov/show/NCT02811627
430	NCT02808507	Comparative Effectiveness/Implementation of TB Case Finding in Rural South Africa	Recruiting	No Results Available	Tuberculosis	Other: Active TB case finding	All	up to 99 Years   (Child, Adult, Older Adult)	Not Applicable	128171	Interventional	July 18, 2016	Vhembe health subdistrict, Louis Trichardt, Limpopo, South Africa|Waterberg health subdistrict, Mokopane, Limpopo, South Africa	https://ClinicalTrials.gov/show/NCT02808507
431	NCT02690259	Sentinel Lymph Node Detection in Endometrial Cancer	Recruiting	No Results Available	Endometrial Neoplasms	Procedure: Sentinel node procedure	Female	18 Years and older   (Adult, Older Adult)	Not Applicable	375	Interventional	June 2014	Department of Gynecology and Obstetrics, Lund, Sweden	https://ClinicalTrials.gov/show/NCT02690259
432	NCT02651402	A Hybrid Effectiveness-Implementation Trial of Group CBT in Urban Schools	Recruiting	No Results Available	Anxiety Disorders	Behavioral: FRIENDS for Life|Behavioral: Adapted FRIENDS|Behavioral: Train-the-Trainer|Behavioral: Train-the-Trainer Plus	All	8 Years to 99 Years   (Child, Adult, Older Adult)	Not Applicable	534	Interventional	February 2016	Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, United States	https://ClinicalTrials.gov/show/NCT02651402
433	NCT02624765	FAST Therapy Trial of Fetal Tachyarrhythmia	Enrolling by invitation	No Results Available	Fetal Atrial Flutter Without Hydrops|Fetal Supraventricular Tachycardia Without Hydrops|Fetal Supraventricular Tachycardia With Hydrops	Drug: Digoxin (monotherapy)|Drug: Sotalol (monotherapy)|Drug: Flecainide (monotherapy)|Drug: Digoxin (dual therapy)|Drug: Sotalol (dual therapy)|Drug: Flecainide (dual therapy)	Female	16 Years to 50 Years   (Child, Adult)	Phase 3	600	Interventional	February 2016	Ronald Reagan UCLA Medical Center, Los Angeles, California, United States|Morgan Stanley Children's Hospital, UCSF, San Francisco, California, United States|Children's Hospital of Colorado, Denver, Colorado, United States|Boston Childrens Hospital, Boston, Massachusetts, United States|Cohen Children's Medical Center, New York, New York, United States|Morgan Stanley Children's Hospital of New York-Presbyterian, New York, New York, United States|Cincinnati Children's Hospital, Cincinnati, Ohio, United States|MUSC Children's Hospital, Charleston, South Carolina, United States|Monroe Carell Jr. Children's Hospital, Vanderbilt, Nashville, Tennessee, United States|Baylor College of Medicine, Houston, Texas, United States|University of Utah, Salt Lake City, Utah, United States|West Virginia University Hospitals, Morgantown, West Virginia, United States|Children's Hospital of Wisconsin, Milwaukee, Wisconsin, United States|The Royal Women's Hospital, Melbourne, Australia|University of Alberta/WCCHN, Edmonton, Canada|McMaster University, Hamilton, Canada|Sainte-Justine Hospital, Montreal, Canada|Mount Sinai Hospital, Toronto, Canada|The Hospital for Sick Children, Toronto, Canada|British Columbia Children's Hospital, Vancouver, Canada|UKB Universitätsklinikum BONN, Bonn, Germany|Academic Medical Center - AMC, Amsterdam, Netherlands|Leiden University Medical Center - LUMC, Leiden, Netherlands|Erasmus Medical Center Rotterdam, Rotterdam, Netherlands|University Medical Center Utrecht, Utrecht, Netherlands|Belfast Health and Social Care Trust, Belfast, United Kingdom|Fetal Medicine Centre, Birmingham Women's Foundation Trust, Birmingham, United Kingdom|The Ian Donald Centre for Foetal Medicine, Southern General Hospital, Glasgow, United Kingdom|Liverpool Women's Hospital, Liverpool, United Kingdom|Chelsea and Westminster, London, United Kingdom|St George's University Hospital Foundation Trust, London, United Kingdom	https://ClinicalTrials.gov/show/NCT02624765
434	NCT02613650	A Trial of mFOLFIRI With MEK162 in Patients With Advanced KRAS Positive Metastatic Colorectal Cancers	Recruiting	No Results Available	Advanced KRAS Positive Metastatic Colorectal Cancer	Drug: MEK162 and mFOLFIRI	All	18 Years and older   (Adult, Older Adult)	Phase 1	30	Interventional	May 12, 2016	Huntsman Cancer Institute, Salt Lake City, Utah, United States	https://ClinicalTrials.gov/show/NCT02613650
435	NCT02606045	Minimize Menorrhagia in Women With Type 1 Von Willebrand Disease	Recruiting	No Results Available	Type 1 Von Willebrand Disease	Drug: recombinant von Willebrand factor|Drug: tranexamic acid	Female	18 Years to 45 Years   (Adult)	Phase 3	60	Interventional	February 2019	University of Pittsburgh and Hemophilia Center Western PA, Pittsburgh, Pennsylvania, United States	https://ClinicalTrials.gov/show/NCT02606045
436	NCT02599480	Assessment of Efficacy of Mirabegron, a New beta3-adrenergic Receptor in the Prevention of Heart Failure	Enrolling by invitation	No Results Available	Hypertrophy, Left Ventricular	Drug: mirabegron|Procedure: Echocardiography|Procedure: Cardiac MRI|Procedure: Maximal exercise capacity|Procedure: Blood sampling|Procedure: Endothelial function measurement|Radiation: 18FDG-PET	All	18 Years to 90 Years   (Adult, Older Adult)	Phase 2	297	Interventional	April 2016	Cliniques universitaires Saint-Luc, Brussels, Belgium|Nantes university hospital (CHU Nantes), Nantes, France|Center for Cardiovascular Research Berlin (CCR/Charité), Berlin, Germany|University Medical Center Göttingen (UMG-GOE), Göttingen, Germany|Athens University Medical School (NKUA), Athens, Greece|Hospital "Papa Giovanni XXIII" (HPG23), Bergamo, Italy|Department of Heart Diseases at Wroclaw Medical University (UMW), Wroclaw, Poland|Association for Research and Development of the Faculty of Medicine (AIDFM), Lisbon, Portugal|University of Oxford - Division of Cardiovascular Medicine (UOXF), Oxford, United Kingdom	https://ClinicalTrials.gov/show/NCT02599480
437	NCT02587936	Improving Chronic Disease Management With Pieces	Recruiting	No Results Available	Chronic Kidney Disease|Diabetes|Hypertension|High BP|Type 2 Diabetes	Other: Collaborative Model of Primary care and Subspecialty care	All	18 Years to 85 Years   (Adult, Older Adult)	Not Applicable	10991	Interventional	April 2016	ProHealth, Farmington, Connecticut, United States|Texas Health Resources, Arlington, Texas, United States|Veteran's Administration, Dallas, Texas, United States|Parkland Health and Hospital System, Dallas, Texas, United States	https://ClinicalTrials.gov/show/NCT02587936
438	NCT02458846	Efficacy of Visual Screening in Ontario	Recruiting	No Results Available	Amblyopia	Other: Crowded HOTV Acuity Test|Other: Preschool Randot Stereoacuity Test|Device: Plusoptix Autorefractor|Other: Comprehensive Eye Exam	All	3 Years to 8 Years   (Child)	Not Applicable	780	Interventional	September 2014	The Hospital for Sick Children, Toronto, Ontario, Canada	https://ClinicalTrials.gov/show/NCT02458846
439	NCT02428205	Combined Effects of Early Behavioral Intervention and Propranolol on ASD	Recruiting	No Results Available	Autism	Drug: Propranolol|Drug: Placebo	All	3 Years to 8 Years   (Child)	Not Applicable	30	Interventional	April 2015	Thompson Center for Autism & Neurodevelopmental Disorders, Columbia, Missouri, United States	https://ClinicalTrials.gov/show/NCT02428205
440	NCT02340650	High Resolution Imaging for Early and Better Detection of Bladder Cancer	Recruiting	No Results Available	Bladder Cancer	Device: Standard High Resolution Microendoscope and/or Line-Scanning Confocal High Resolution Microendoscope	All	18 Years to 100 Years   (Adult, Older Adult)	Not Applicable	100	Interventional	April 2015	Lyndon B. Johnson General Hospital, Houston, Texas, United States	https://ClinicalTrials.gov/show/NCT02340650
441	NCT02278198	Evaluation of Thyroid Stunning From a Diagnostic Dose of I-123	Recruiting	No Results Available	Differentiated Thyroid Cancer	Drug: rhTSH	All	21 Years and older   (Adult, Older Adult)	Phase 1	5	Interventional	November 2014	University of Colorado Anschutz Medical Campus, Aurora, Colorado, United States	https://ClinicalTrials.gov/show/NCT02278198
442	NCT02259621	Neoadjuvant Nivolumab, or Nivolumab in Combination With Ipilimumab, in Resectable NSCLC	Recruiting	No Results Available	Non-Small Cell Lung Cancer	Drug: Nivolumab|Drug: Ipilimumab	All	18 Years and older   (Adult, Older Adult)	Phase 2	30	Interventional	September 2014	Sibley Memorial Hospital, Washington, District of Columbia, United States|Johns Hopkins at Bayview Medical Center, Baltimore, Maryland, United States|Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins, Baltimore, Maryland, United States|Memorial Sloan Kettering, New York, New York, United States	https://ClinicalTrials.gov/show/NCT02259621
443	NCT02046694	A Pilot Study of Allopurinol As A Modifier of 6-MP Metabolism in Pediatric ALL	Recruiting	No Results Available	Acute Lymphoblastic Leukemia (ALL)	Drug: Allopurinol	All	up to 30 Years   (Child, Adult)	Early Phase 1	14	Interventional	January 2014	Johns Hopkins Hospital, Baltimore, Maryland, United States|Texas Children's Cancer and Hematology Centers, Houston, Texas, United States|Seattle Children's Hospital, Seattle, Washington, United States	https://ClinicalTrials.gov/show/NCT02046694
444	NCT01964859	Feasibility Study for Fibroblast Autologous Skin Grafts	Recruiting	No Results Available	Wounds and Injuries	Biological: autologous skin fibroblasts	All	18 Years to 65 Years   (Adult, Older Adult)	Phase 2	80	Interventional	December 2014	Johns Hopkins School of Medicine, Dermatology Department, Baltimore, Maryland, United States	https://ClinicalTrials.gov/show/NCT01964859
445	NCT01247090	Study of the Effect of Intradialytic Vasopressin on Chronic Hypertension in Patients With End Stage Renal Disease	Recruiting	Has Results	Hypertension|End Stage Renal Disease	Drug: Vasopressin - Very Low Dose|Drug: Vasopressin - Low Dose|Drug: Placebo Comparator	All	18 Years and older   (Adult, Older Adult)	Phase 2	36	Interventional	October 2010	Columbia University Medical Center, New York, New York, United States	https://ClinicalTrials.gov/show/NCT01247090
446	NCT01042015	Emergency Preservation and Resuscitation (EPR) for Cardiac Arrest From Trauma	Recruiting	No Results Available	Cardiac Arrest From Trauma	Combination Product: Emergency preservation and resuscitation|Other: Standard resuscitation	All	18 Years to 65 Years   (Adult, Older Adult)	Phase 2	20	Interventional	October 2016	University of Maryland, Baltimore, Maryland, United States|University of Pittsburgh, Pittsburgh, Pennsylvania, United States	https://ClinicalTrials.gov/show/NCT01042015
447	NCT00870064	The Treatment of Type I Open Fractures in Pediatrics	Recruiting	No Results Available	Fractures, Open	Procedure: Formal Operative Treatment|Procedure: Emergency Department Treatment	All	3 Years to 14 Years   (Child)	Not Applicable	300	Interventional	March 2010	Ann & Robert H. Lurie Children's Hospital of Chicago, Chicago, Illinois, United States	https://ClinicalTrials.gov/show/NCT00870064
448	NCT03799094	Vitamin C and Tyrosine Kinase Inhibitor in Lung Cancer Patients With Epidermal Growth Factor Receptor Mutations	Recruiting	No Results Available	Carcinoma, Non-Small-Cell Lung	Drug: Vitamin C|Drug: Tyrosine kinase inhibitor	All	18 Years to 75 Years   (Adult, Older Adult)	Phase 1|Phase 2	150	Interventional	December 5, 2018	Clifford Hospital, Guangzhou, China	https://ClinicalTrials.gov/show/NCT03799094
449	NCT03607630	Can Imagination Change Upsetting Memories of Trauma?	Recruiting	No Results Available	Psychosis	Other: Imagery Rescripting	All	18 Years and older   (Adult, Older Adult)	Phase 1|Phase 2	12	Interventional	August 3, 2018	South London and the Maudsley NHS Foundation Trust, London, United Kingdom	https://ClinicalTrials.gov/show/NCT03607630
450	NCT03423342	Nicotinamide Riboside in Systolic Heart Failure	Recruiting	No Results Available	Heart Failure, Systolic	Dietary Supplement: nicotinamide riboside|Drug: Placebo	All	18 Years and older   (Adult, Older Adult)	Phase 1|Phase 2	30	Interventional	May 19, 2016	University of Washington, Seattle, Washington, United States	https://ClinicalTrials.gov/show/NCT03423342
451	NCT03360929	Evaluate Safety, Tolerability, Pharmacokinetics and Anti-tumor Activity of AZD3759	Recruiting	No Results Available	Non Small Cell Lung Cancer	Drug: AZD3759	All	18 Years and older   (Adult, Older Adult)	Phase 1|Phase 2	180	Interventional	October 30, 2017	Guangdong General Hospital, Guangzhou, Guangdong, China	https://ClinicalTrials.gov/show/NCT03360929
452	NCT03292731	Relationship Between Plasma Concentration of Hydroxyprogesterone Caproate (17-OHPC) and Preterm Birth	Recruiting	No Results Available	Preterm Birth	Drug: Hydroxyprogesterone 250 Mg|Drug: hydroxyprogesterone 500mg	Female	18 Years to 45 Years   (Adult)	Phase 2|Phase 3	300	Interventional	February 12, 2018	Northwestern University, Chicago, Illinois, United States|University of Pittsburgh-Magee Womens Hospital, Pittsburgh, Pennsylvania, United States|University of Texas Medical Branch, Galveston, Texas, United States	https://ClinicalTrials.gov/show/NCT03292731
453	NCT03275870	Hydroxychloroquine for the Treatment of Hidradenitis Suppurativa	Recruiting	No Results Available	Hidradenitis Suppurativa|Hidradenitis|Acne Inversa|Boils|Follicular Occlusion Triad|Follicular Occlusion Tetrad	Drug: Hydroxychloroquine	All	18 Years and older   (Adult, Older Adult)	Phase 1|Phase 2	20	Interventional	September 28, 2017	University of Pittsburgh, Pittsburgh, Pennsylvania, United States	https://ClinicalTrials.gov/show/NCT03275870
454	NCT03104426	EPO-4-Rhesus Study	Recruiting	No Results Available	Erythroblastosis, Fetal|Erythroblastosis Fetalis, Rh Disease|Erythroblastosis Fetalis Due to RH Antibodies|Erythroblastosis Fetalis Due to Isoimmunization	Drug: Darbepoetin Alfa	All	up to 2 Years   (Child)	Phase 2|Phase 3	42	Interventional	October 31, 2017	Leiden University Medical Center, Leiden, Netherlands	https://ClinicalTrials.gov/show/NCT03104426
455	NCT03753802	Evaluation of the Effects of Respiratory Physiotherapy in Infants With Moderate Acute Bronchiolitis	Recruiting	No Results Available	Acute Bronchiolitis	Other: Chest Physiotherapy|Other: Surveillance	All	3 Months to 12 Months   (Child)	Not Applicable	168	Interventional	November 9, 2018	Maison de Santé Pluri professionnelle Les allées, Corbeil-Essonnes, Essonne, France|Cabinet Pédiatrique Saint-Germain, Saint-Germain-lès-Arpajon, Essonne, France	https://ClinicalTrials.gov/show/NCT03753802
456	NCT03630549	Village-based vs Clinic-based ART Care - a Cluster Randomized Controlled Trial in Lesotho	Recruiting	No Results Available	HIV/AIDS	Other: Standard of Care|Other: Village-based ART refill	All	10 Years and older   (Child, Adult, Older Adult)	Phase 4	262	Interventional	August 16, 2018	District of Butha-Buthe, Butha-Buthe, Lesotho|District of Mokhotlong, Mokhotlong, Lesotho	https://ClinicalTrials.gov/show/NCT03630549
457	NCT03241732	PET-MRI and the Effect of N-Acetyl Cysteine (NAC) and Anti-Inflammatory Diet in Traumatic Brain Injury	Recruiting	No Results Available	Chronic Traumatic Brain Injury	Other: Anti-inflammatory Diet|Dietary Supplement: N-acetyl Cysteine	All	18 Years to 80 Years   (Adult, Older Adult)	Not Applicable	120	Interventional	June 7, 2017	Thomas Jefferson University, Marcus Institute of Integrative Health Centers, Philadelphia, Pennsylvania, United States|Thomas Jefferson University, Marcus Institute of Integrative Health Centers, Villanova, Pennsylvania, United States	https://ClinicalTrials.gov/show/NCT03241732
